Designator,Mid X,Mid Y,Rotation,Layer
,185.724471,-91.139991,0.0,top
C1,134.8,-99.9,180.0,top
C10,124.825,-77.175,270.0,top
C11,124.801,-83.375,270.0,top
C12,135.3625,-87.725,0.0,top
C13,129.4,-93.4,0.0,top
C14,124.71,-71.57,0.0,top
C15,124.7,-69.96,0.0,top
C2,112.13,-62.77,270.0,top
C3,110.3,-84.275,90.0,top
C4,112.1,-84.275,90.0,top
C5,112.925,-105.05,0.0,top
C6,112.9,-95.1,0.0,top
C7,153.69,-86.6225,270.0,top
C8,135.33,-80.23,180.0,top
C9,135.3375,-81.86,180.0,top
D1,164.475,-91.51,0.0,top
D10,123.0,-104.7,90.0,top
D11,124.6,-104.7,90.0,top
D12,126.2,-104.7,90.0,top
D13,127.8,-104.7,90.0,top
D14,129.4,-104.7,90.0,top
D2,164.475,-93.4,0.0,top
D3,187.85,-67.375,270.0,top
D4,129.325,-77.475,0.0,top
D5,129.325,-83.375,0.0,top
D6,129.35,-89.3,0.0,top
D7,118.1,-104.7,90.0,top
D8,119.7,-104.7,90.0,top
D9,121.34,-104.7,90.0,top
J1,150.705,-54.44,0.0,top
J2,162.66,-95.565,90.0,top
J3,162.66,-99.155,90.0,top
J4,147.37,-82.87,0.0,top
J5,122.155,-80.36,0.0,top
J6,192.475,-89.59,180.0,top
J7,193.52,-104.005,270.0,top
JP1,160.88,-77.54,90.0,top
JP2,188.465,-109.535,270.0,top
M1,124.7,-62.3,0.0,top
R1,136.8575,-108.09,0.0,top
R10,113.87,-84.26,270.0,top
R13,109.1375,-105.075,0.0,top
R14,109.0875,-95.1,0.0,top
R15,183.1375,-69.875,0.0,top
R16,183.15,-67.375,0.0,top
R17,183.15,-64.875,0.0,top
R2,132.71,-108.09,180.0,top
R3,167.95,-91.5,180.0,top
R4,167.95,-93.4,180.0,top
R6,113.7,-62.775,90.0,top
R9,108.54,-84.27,270.0,top
RN1,140.2,-75.7,90.0,top
RN2,119.3,-110.9,90.0,top
RN3,128.2,-110.9,90.0,top
RV1,157.19,-85.76,270.0,top
SW1,108.7,-80.775,90.0,top
SW2,111.025,-102.2,0.0,top
SW3,111.0,-92.225,0.0,top
U1,134.785,-103.49,0.0,top
U2,139.0,-81.2,90.0,top
U4,123.8,-97.2,0.0,top
