Designator,Footprint,Quantity,Value,LCSC Part #
,5e83e988-b69c-43c0-b382-9b895c3e7185,1,,
"C1, C10, C11, C12, C13, C15, C2, C3, C4, C5, C6, C7, C9",0603,13,100nF,
C14,0603,1,100uF,
C8,0603,1,1uF,
D1,0603,1,RED,
"D10, D11, D12, D13, D14, D7, D8, D9",0603,8,LED,
D2,0603,1,GREEN,
D3,LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,1,LED_RGAB,
"D4, D5, D6",LED_SK6812_PLCC4_5.0x5.0mm_P3.2mm,3,SK6812,
J1,MCX-A153_Shield_Template,1,~,
"J2, J3, J5",PinSocket_1x04_P2.54mm_Vertical,3,Conn_01x04_Pin,
J4,PinHeader_1x03_P2.54mm_Vertical,1,Conn_01x03_Pin,
J6,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
J7,PinSocket_1x06_P2.54mm_Vertical,1,Conn_01x06_Socket,
"JP1, JP2",PinHeader_1x03_P2.54mm_Vertical,2,SolderJumper_3_Open,
M1,PinHeader_1x03_P2.54mm_Vertical,1,Motor_Servo,
"R1, R2",0603,2,10k,
"R10, R13, R14, R6, R9",0603,5,1k,
"R15, R16, R17, R3",0603,4,420,
R4,0603,1,640,
RN1,R_Array_Convex_4x0603,1,4.7k,
"RN2, RN3",R_Array_Convex_4x0603,2,420,
RV1,Potentiometer_Bourns_3386P_Vertical,1,5k,
SW1,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,PEC11L-4120F-N0020,
"SW2, SW3",SW_SPST_EVQP2,2,SW_Push,
U1,SOIC127P600X175-8N,1,M95010-RMN6TP,
U2,FXLS8974CF,1,FXLS8974CF,
U4,SOIC127P600X175-14N,1,SN74LV164ADR,
